,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
29,0.0496329665184021,0.0032238907739532384,0.0038805603981018066,0.0007365678820767839,gini,50,100,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
30,0.06439429521560669,0.008582880455795682,0.0037497282028198242,0.0004322944210597178,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.8338255562118527,0.8357621110673493,0.82926348956282,0.8373375344623868,0.8340471728261023,0.0030290358348797437,3
31,0.06339186429977417,0.002293522617117851,0.004250288009643555,0.00043208728738624067,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10}",0.8316597755463674,0.8328081922016541,0.8251280031508468,0.8383221740842851,0.8319795362457884,0.004689389035351421,14
32,0.06601208448410034,0.005761522193324045,0.0058792829513549805,0.003257580509229185,entropy,10,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 20}",0.8304784406379209,0.8314296967309964,0.828672705789681,0.8365498227648681,0.8317826664808666,0.002925031078063345,16
33,0.05389314889907837,0.002994024013748284,0.0037505626678466797,0.0008317236830617227,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 50}",0.8212246505217563,0.8296573454115793,0.8221740842851516,0.8328081922016541,0.8264660681050353,0.004906637654662965,37
34,0.05001026391983032,0.0031745292187271706,0.004000067710876465,2.17536539922889e-06,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
35,0.08698242902755737,0.00637709062442244,0.004000663757324219,3.5563549733582255e-06,entropy,20,5,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 5}",0.8226028745816105,0.8288696337140606,0.8306419850334777,0.8448207955888145,0.8317338222294908,0.008124634775952988,17
36,0.07698148488998413,0.004017671105472377,0.004000484943389893,3.9085379387748244e-07,entropy,20,10,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 10}",0.8253593227013192,0.8312327688066168,0.8310358408822371,0.8367467506892478,0.8310936707698552,0.004026870773500653,27
37,0.06539088487625122,0.005274828633895851,0.004249095916748047,0.0010862819729105717,entropy,20,20,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 20}",0.8249655443985037,0.8381252461599055,0.8270972823946435,0.8365498227648681,0.8316844739294802,0.005730216104863182,18
38,0.059232354164123535,0.00292133921351993,0.0037497282028198242,0.00043380745295126523,entropy,20,50,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 50}",0.8184682024020477,0.8269003544702639,0.8229617959826704,0.8312327688066168,0.8248907804153998,0.004723073520378989,44
39,0.047511160373687744,0.0029453511374380255,0.004252314567565918,0.0004303836904661129,entropy,20,100,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
40,0.08520698547363281,0.0014510755165324286,0.005632162094116211,0.001982891775713657,entropy,25,5,"{'criterion': 'entropy', 'max_depth': 25, 'min_samples_leaf': 5}",0.819846426461902,0.8267034265458842,0.8251280031508468,0.8422607325718787,0.8284846471826279,0.008349239366324965,33
41,0.07584059238433838,0.005016596762450004,0.004497945308685303,0.0008668243036437713,entropy,25,10,"{'criterion': 'entropy', 'max_depth': 25, 'min_samples_leaf': 10}",0.8277219925182122,0.8316266246553762,0.8316266246553762,0.8365498227648681,0.8318812661484581,0.0031314797856557557,15
42,0.0702471137046814,0.003563722544203817,0.004842042922973633,0.0009698207113246234,entropy,25,20,"{'criterion': 'entropy', 'max_depth': 25, 'min_samples_leaf': 20}",0.8249655443985037,0.8381252461599055,0.8270972823946435,0.8365498227648681,0.8316844739294802,0.005730216104863182,18
43,0.06084102392196655,0.004847287719441794,0.0037499666213989258,0.0008271563747553203,entropy,25,50,"{'criterion': 'entropy', 'max_depth': 25, 'min_samples_leaf': 50}",0.8184682024020477,0.8269003544702639,0.8229617959826704,0.8312327688066168,0.8248907804153998,0.004723073520378989,44
44,0.05549824237823486,0.0069607845981587806,0.003752410411834717,0.0004338619554741378,entropy,25,100,"{'criterion': 'entropy', 'max_depth': 25, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
45,0.08699899911880493,0.004218464464979187,0.004500865936279297,0.0005004406259308653,entropy,30,5,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 5}",0.8192557590076787,0.828672705789681,0.8243402914533281,0.8434423001181568,0.828927764092211,0.009018444965096345,31
46,0.07574659585952759,0.0040268539264744115,0.0060045719146728516,0.001584984559218183,entropy,30,10,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",0.8269344359125812,0.8308389129578574,0.8320204805041355,0.8365498227648681,0.8315859130348605,0.003428684048842451,21
47,0.0715022087097168,0.007559834897358778,0.003998458385467529,1.2880672684296554e-06,entropy,30,20,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 20}",0.8249655443985037,0.8381252461599055,0.8270972823946435,0.8365498227648681,0.8316844739294802,0.005730216104863182,18
48,0.06508678197860718,0.009649657645649488,0.0034981966018676758,0.0005007989631888938,entropy,30,50,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 50}",0.8184682024020477,0.8269003544702639,0.8229617959826704,0.8312327688066168,0.8248907804153998,0.004723073520378989,44
49,0.053707003593444824,0.0012508550999215486,0.003998696804046631,0.0012233431468478117,entropy,30,100,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
50,0.08821260929107666,0.0070985910310918995,0.0045035481452941895,0.0008668935661947507,entropy,45,5,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 5}",0.8208308722189407,0.8269003544702639,0.8259157148483655,0.843245372193777,0.8292230784328368,0.008417059283693708,29
51,0.07958441972732544,0.012397846293161473,0.004753530025482178,0.0004334448251721355,entropy,45,10,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 10}",0.8261468793069502,0.8310358408822371,0.8316266246553762,0.8369436786136274,0.8314382558645477,0.003824453102723411,25
52,0.07083594799041748,0.0097389167763462,0.004500925540924072,0.0008653777548797437,entropy,45,20,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 20}",0.8243748769442804,0.8381252461599055,0.8270972823946435,0.8365498227648681,0.8315368070659244,0.005906362638442927,22
53,0.05895966291427612,0.002738830043777144,0.0047476887702941895,0.00083137918086965,entropy,45,50,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 50}",0.8184682024020477,0.8269003544702639,0.8229617959826704,0.8312327688066168,0.8248907804153998,0.004723073520378989,44
54,0.05270540714263916,0.0013085612619116722,0.004501640796661377,0.001503487922942742,entropy,45,100,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
55,0.08232158422470093,0.0046872165598213725,0.004284262657165527,0.0007784860133084615,entropy,50,5,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_leaf': 5}",0.8194526481590865,0.8263095706971249,0.8247341473020874,0.8440330838912958,0.8286323625123986,0.009247172787423076,32
56,0.07093900442123413,0.0036934910630858123,0.004001796245574951,0.0012272364176846126,entropy,50,10,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_leaf': 10}",0.826343768458358,0.8314296967309964,0.8312327688066168,0.8365498227648681,0.8313890141902097,0.003609519266053811,26
57,0.06581205129623413,0.0023872403865178075,0.003880441188812256,0.0010344945795737572,entropy,50,20,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_leaf': 20}",0.8243748769442804,0.8381252461599055,0.8270972823946435,0.8365498227648681,0.8315368070659244,0.005906362638442927,22
58,0.04859638214111328,0.005402986782217816,0.0037497282028198242,0.0008301026639599339,entropy,50,50,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_leaf': 50}",0.8184682024020477,0.8269003544702639,0.8229617959826704,0.8312327688066168,0.8248907804153998,0.004723073520378989,44
59,0.04606598615646362,0.0057449972344453,0.0035260915756225586,0.0004836657307662304,entropy,50,100,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_leaf': 100}",0.8166962000393778,0.8223710122095313,0.8142969673099646,0.8202048050413548,0.8183922461500571,0.003113030287280647,49
